date,dau,mau,stickiness_percentage
2020-04-16,181,674,26.8546
2020-04-17,177,674,26.2611
2020-04-18,180,674,26.7062
2020-04-19,178,674,26.4095
2020-04-20,190,674,28.1899
2020-04-21,169,674,25.0742
2020-04-22,182,674,27.0030
2020-04-23,185,674,27.4481
2020-04-24,190,674,28.1899
2020-04-25,194,674,28.7834
2020-04-26,200,674,29.6736
2020-04-27,180,674,26.7062
2020-04-28,199,674,29.5252
2020-04-29,199,674,29.5252
2020-04-30,217,674,32.1958
2020-05-01,225,909,24.7525
2020-05-02,228,909,25.0825
2020-05-03,194,909,21.3421
2020-05-04,224,909,24.6425
2020-05-05,217,909,23.8724
2020-05-06,226,909,24.8625
2020-05-07,227,909,24.9725
2020-05-08,231,909,25.4125
2020-05-09,229,909,25.1925
2020-05-10,239,909,26.2926
2020-05-11,242,909,26.6227
2020-05-12,224,909,24.6425
2020-05-13,260,909,28.6029
2020-05-14,237,909,26.0726
2020-05-15,253,909,27.8328
2020-05-16,260,909,28.6029
2020-05-17,271,909,29.8130
2020-05-18,245,909,26.9527
2020-05-19,253,909,27.8328
2020-05-20,247,909,27.1727
2020-05-21,275,909,30.2530
2020-05-22,268,909,29.4829
2020-05-23,278,909,30.5831
2020-05-24,281,909,30.9131
2020-05-25,270,909,29.7030
2020-05-26,274,909,30.1430
2020-05-27,303,909,33.3333
2020-05-28,319,909,35.0935
2020-05-29,303,909,33.3333
2020-05-30,297,909,32.6733
2020-05-31,287,909,31.5732
2020-06-01,308,1255,24.5418
2020-06-02,310,1255,24.7012
2020-06-03,274,1255,21.8327
2020-06-04,283,1255,22.5498
2020-06-05,318,1255,25.3386
2020-06-06,297,1255,23.6653
2020-06-07,294,1255,23.4263
2020-06-08,290,1255,23.1076
2020-06-09,308,1255,24.5418
2020-06-10,312,1255,24.8606
2020-06-11,316,1255,25.1793
2020-06-12,317,1255,25.2590
2020-06-13,336,1255,26.7729
2020-06-14,325,1255,25.8964
2020-06-15,325,1255,25.8964
2020-06-16,327,1255,26.0558
2020-06-17,351,1255,27.9681
2020-06-18,350,1255,27.8884
2020-06-19,363,1255,28.9243
2020-06-20,390,1255,31.0757
2020-06-21,372,1255,29.6414
2020-06-22,408,1255,32.5100
2020-06-23,398,1255,31.7131
2020-06-24,418,1255,33.3068
2020-06-25,381,1255,30.3586
2020-06-26,400,1255,31.8725
2020-06-27,405,1255,32.2709
2020-06-28,396,1255,31.5538
2020-06-29,442,1255,35.2191
2020-06-30,427,1255,34.0239
2020-07-01,410,1688,24.2891
2020-07-02,428,1688,25.3555
2020-07-03,426,1688,25.2370
2020-07-04,423,1688,25.0592
2020-07-05,447,1688,26.4810
2020-07-06,413,1688,24.4668
2020-07-07,391,1688,23.1635
2020-07-08,445,1688,26.3626
2020-07-09,443,1688,26.2441
2020-07-10,472,1688,27.9621
2020-07-11,466,1688,27.6066
2020-07-12,445,1688,26.3626
2020-07-13,475,1688,28.1398
2020-07-14,471,1688,27.9028
2020-07-15,485,1688,28.7322
2020-07-16,459,1688,27.1919
2020-07-17,496,1688,29.3839
2020-07-18,507,1688,30.0355
2020-07-19,516,1688,30.5687
2020-07-20,468,1688,27.7251
2020-07-21,484,1688,28.6730
2020-07-22,490,1688,29.0284
2020-07-23,499,1688,29.5616
2020-07-24,459,1688,27.1919
2020-07-25,465,1688,27.5474
2020-07-26,513,1688,30.3910
2020-07-27,474,1688,28.0806
2020-07-28,506,1688,29.9763
2020-07-29,486,1688,28.7915
2020-07-30,531,1688,31.4573
2020-07-31,459,1688,27.1919
2020-08-01,516,2201,23.4439
2020-08-02,488,2201,22.1717
2020-08-03,525,2201,23.8528
2020-08-04,517,2201,23.4893
2020-08-05,517,2201,23.4893
2020-08-06,557,2201,25.3067
2020-08-07,524,2201,23.8074
2020-08-08,551,2201,25.0341
2020-08-09,558,2201,25.3521
2020-08-10,546,2201,24.8069
2020-08-11,528,2201,23.9891
2020-08-12,545,2201,24.7615
2020-08-13,537,2201,24.3980
2020-08-14,518,2201,23.5348
2020-08-15,522,2201,23.7165
2020-08-16,523,2201,23.7619
2020-08-17,559,2201,25.3975
2020-08-18,510,2201,23.1713
2020-08-19,525,2201,23.8528
2020-08-20,543,2201,24.6706
2020-08-21,550,2201,24.9886
2020-08-22,553,2201,25.1249
2020-08-23,513,2201,23.3076
2020-08-24,514,2201,23.3530
2020-08-25,513,2201,23.3076
2020-08-26,549,2201,24.9432
2020-08-27,557,2201,25.3067
2020-08-28,544,2201,24.7160
2020-08-29,562,2201,25.5338
2020-08-30,558,2201,25.3521
2020-08-31,540,2201,24.5343
2020-09-01,537,2591,20.7256
2020-09-02,556,2591,21.4589
2020-09-03,538,2591,20.7642
2020-09-04,553,2591,21.3431
2020-09-05,545,2591,21.0343
2020-09-06,523,2591,20.1853
2020-09-07,536,2591,20.6870
2020-09-08,514,2591,19.8379
2020-09-09,551,2591,21.2659
2020-09-10,556,2591,21.4589
2020-09-11,557,2591,21.4975
2020-09-12,517,2591,19.9537
2020-09-13,523,2591,20.1853
2020-09-14,550,2591,21.2273
2020-09-15,562,2591,21.6905
2020-09-16,549,2591,21.1887
2020-09-17,540,2591,20.8414
2020-09-18,571,2591,22.0378
2020-09-19,583,2591,22.5010
2020-09-20,559,2591,21.5747
2020-09-21,553,2591,21.3431
2020-09-22,560,2591,21.6133
2020-09-23,556,2591,21.4589
2020-09-24,538,2591,20.7642
2020-09-25,571,2591,22.0378
2020-09-26,571,2591,22.0378
2020-09-27,546,2591,21.0729
2020-09-28,564,2591,21.7677
2020-09-29,548,2591,21.1501
2020-09-30,560,2591,21.6133
2020-10-01,551,3373,16.3356
2020-10-02,583,3373,17.2843
2020-10-03,576,3373,17.0768
2020-10-04,635,3373,18.8260
2020-10-05,639,3373,18.9446
2020-10-06,665,3373,19.7154
2020-10-07,671,3373,19.8933
2020-10-08,680,3373,20.1601
2020-10-09,716,3373,21.2274
2020-10-10,746,3373,22.1168
2020-10-11,731,3373,21.6721
2020-10-12,752,3373,22.2947
2020-10-13,766,3373,22.7098
2020-10-14,788,3373,23.3620
2020-10-15,796,3373,23.5992
2020-10-16,837,3373,24.8147
2020-10-17,857,3373,25.4076
2020-10-18,858,3373,25.4373
2020-10-19,882,3373,26.1488
2020-10-20,901,3373,26.7121
2020-10-21,883,3373,26.1785
2020-10-22,900,3373,26.6825
2020-10-23,924,3373,27.3940
2020-10-24,948,3373,28.1055
2020-10-25,1031,3373,30.5663
2020-10-26,982,3373,29.1135
2020-10-27,991,3373,29.3804
2020-10-28,1000,3373,29.6472
2020-10-29,1044,3373,30.9517
2020-10-30,1025,3373,30.3884
2020-10-31,1043,3373,30.9220
2020-11-01,1056,4455,23.7037
2020-11-02,1095,4455,24.5791
2020-11-03,1112,4455,24.9607
2020-11-04,1104,4455,24.7811
2020-11-05,1114,4455,25.0056
2020-11-06,1083,4455,24.3098
2020-11-07,1167,4455,26.1953
2020-11-08,1177,4455,26.4198
2020-11-09,1204,4455,27.0258
2020-11-10,1216,4455,27.2952
2020-11-11,1240,4455,27.8339
2020-11-12,1244,4455,27.9237
2020-11-13,1235,4455,27.7217
2020-11-14,1293,4455,29.0236
2020-11-15,1236,4455,27.7441
2020-11-16,1242,4455,27.8788
2020-11-17,1240,4455,27.8339
2020-11-18,1339,4455,30.0561
2020-11-19,1327,4455,29.7868
2020-11-20,1305,4455,29.2929
2020-11-21,1341,4455,30.1010
2020-11-22,1390,4455,31.2009
2020-11-23,1370,4455,30.7520
2020-11-24,1358,4455,30.4826
2020-11-25,1417,4455,31.8070
2020-11-26,1413,4455,31.7172
2020-11-27,1484,4455,33.3109
2020-11-28,1502,4455,33.7149
2020-11-29,1475,4455,33.1089
2020-11-30,1499,4455,33.6476
2020-12-01,1520,5864,25.9209
2020-12-02,1508,5864,25.7162
2020-12-03,1516,5864,25.8527
2020-12-04,1516,5864,25.8527
2020-12-05,1594,5864,27.1828
2020-12-06,1613,5864,27.5068
2020-12-07,1615,5864,27.5409
2020-12-08,1634,5864,27.8649
2020-12-09,1657,5864,28.2572
2020-12-10,1674,5864,28.5471
2020-12-11,1663,5864,28.3595
2020-12-12,1639,5864,27.9502
2020-12-13,1696,5864,28.9222
2020-12-14,1709,5864,29.1439
2020-12-15,1756,5864,29.9454
2020-12-16,1750,5864,29.8431
2020-12-17,1741,5864,29.6896
2020-12-18,1712,5864,29.1951
2020-12-19,1806,5864,30.7981
2020-12-20,1780,5864,30.3547
2020-12-21,1815,5864,30.9516
2020-12-22,1791,5864,30.5423
2020-12-23,1942,5864,33.1173
2020-12-24,1933,5864,32.9638
2020-12-25,1909,5864,32.5546
2020-12-26,1920,5864,32.7422
2020-12-27,1965,5864,33.5095
2020-12-28,1944,5864,33.1514
2020-12-29,2010,5864,34.2769
2020-12-30,2055,5864,35.0443
