user_id,TestGroup,country,age,transaction_count,total_spent
504,B,Italy,29,120,1516.799996137619
508,A,Italy,31,45,497.5499966144562
512,A,Bulgaria,33,15,107.85000038146973
519,B,Bulgaria,25,4,16.959999561309814
525,A,Greece,29,59,945.4099953174591
531,B,Greece,27,6,77.94000124931335
532,B,Greece,26,30,686.6999940872192
535,A,Greece,30,6,90.93999886512756
537,B,Greece,20,21,207.79000091552734
538,B,Greece,33,1,9.989999771118164
555,A,Greece,40,30,784.6999981403351
559,A,Greece,29,44,449.56000232696533
566,B,Greece,36,31,341.68999767303467
574,A,Greece,22,20,307.79999351501465
575,A,Norway,31,14,229.8600037097931
586,A,Bulgaria,24,24,348.7599985599518
599,B,Greece,39,20,459.7999985218048
602,A,Greece,36,33,627.6699981689453
608,B,Greece,25,16,132.8400001525879
611,B,Norway,29,1,0.9900000095367432
612,A,Norway,39,64,885.3600025177002
613,A,Norway,21,26,369.7399983406067
623,B,Norway,20,173,2587.2699933052063
624,A,Norway,37,5,36.94999933242798
628,B,Germany,47,7,57.929999113082886
633,A,Norway,31,3,59.970001220703125
638,A,Norway,28,31,385.690003156662
645,A,Italy,33,32,522.6799945831299
649,B,Bulgaria,37,2,1.9800000190734863
650,B,Italy,33,12,152.87999987602234
658,A,Bulgaria,30,11,166.89000177383423
659,B,Italy,28,12,167.88000178337097
688,A,Bulgaria,27,17,147.82999992370605
710,B,Bulgaria,28,16,172.84000205993652
719,B,Bulgaria,29,16,150.84000277519226
736,A,Bulgaria,34,16,251.83999800682068
766,A,Norway,18,102,1650.9799962043762
787,B,Norway,29,13,120.87000036239624
790,B,Italy,28,79,952.2099974155426
793,B,Italy,30,86,1200.1399972438812
795,A,Bulgaria,32,8,122.92000269889832
799,B,Italy,30,9,167.9100043773651
802,B,Greece,18,18,381.8200032711029
812,A,Greece,38,24,480.76000356674194
815,B,Germany,43,8,38.91999912261963
828,A,Germany,55,143,2705.569980621338
832,A,Greece,33,26,341.7399957180023
840,A,Greece,30,3,15.969999551773071
851,B,Greece,28,2,1.9800000190734863
852,A,Germany,41,53,880.4699897766113
854,A,Germany,45,115,1923.849992275238
857,A,Greece,34,109,1680.910010099411
858,B,Greece,26,27,329.7300069332123
864,B,Greece,27,18,155.81999921798706
866,B,Greece,25,2,24.979999542236328
874,B,Greece,28,81,1101.189994096756
878,B,Greece,34,44,561.559999704361
879,A,Greece,30,63,963.369992017746
888,A,Greece,26,127,1732.7299993038177
892,B,Germany,50,19,147.80999946594238
893,B,Greece,22,1,0.9900000095367432
901,A,Greece,24,11,162.8899962902069
902,B,Greece,24,30,554.699999332428
906,B,Greece,24,9,93.91000080108643
912,B,Greece,33,4,61.96000146865845
922,B,Greece,18,29,250.70999789237976
935,B,Greece,36,22,315.7799963951111
937,A,Greece,26,10,184.89999890327454
944,A,Greece,32,79,977.2099950313568
945,A,Greece,25,46,611.5399961471558
947,B,Greece,24,18,170.8199965953827
964,B,Greece,20,39,504.61000418663025
983,B,Germany,45,54,716.4599993228912
1002,A,Bulgaria,37,47,775.5300033092499
1005,A,Bulgaria,19,30,255.70000076293945
1028,A,Greece,27,49,630.5099925994873
1029,A,Bulgaria,27,22,346.7799985408783
1031,A,Bulgaria,21,13,20.869999647140503
1042,B,Bulgaria,29,9,143.90999698638916
1059,B,Bulgaria,26,13,184.87000393867493
1072,B,Bulgaria,27,5,23.949999809265137
1085,A,Bulgaria,35,19,215.81000399589539
1119,B,Germany,40,17,180.83000135421753
1120,B,Bulgaria,28,1,0.9900000095367432
1138,B,Italy,30,51,951.4899961948395
1139,B,Greece,18,9,133.91000080108643
1143,B,Greece,33,26,333.7399981021881
1146,B,Norway,28,38,548.6200053691864
1155,B,Bulgaria,22,12,385.8799948692322
1162,B,Bulgaria,30,5,22.949999570846558
1163,B,Bulgaria,33,6,31.939999103546143
1168,A,Bulgaria,41,20,251.80000281333923
1202,A,Italy,36,22,337.7799987792969
1215,B,Bulgaria,23,1,0.9900000095367432
1236,B,Germany,39,30,361.6999979019165
1245,B,Germany,36,137,1701.629981994629
1266,B,Germany,46,121,1554.7899961471558
1287,B,Bulgaria,20,2,1.9800000190734863
1298,B,Bulgaria,30,4,26.959999561309814
1316,B,Italy,33,3,70.9700014591217
1337,B,Italy,31,35,430.6499938964844
233,A,Italy,38,3,21.96999979019165
1587,B,Germany,44,1,9.989999771118164
2054,B,Norway,30,11,113.88999843597412
2345,A,Bulgaria,29,5,21.94999933242798
808,A,Bulgaria,22,40,843.5999903678894
2772,A,Germany,58,5,145.94999718666077
1310,B,Italy,26,6,77.94000124931335
2026,A,Norway,22,11,207.8899962902069
2773,A,Germany,36,22,204.77999806404114
3101,A,Greece,32,10,193.89999866485596
3544,A,Norway,29,17,287.82999992370605
1626,A,Greece,32,46,677.5399906635284
2339,B,Norway,39,15,108.8500006198883
3547,B,Greece,36,7,128.92999744415283
1140,A,Greece,33,5,220.95000100135803
1548,B,Germany,49,3,15.969999551773071
2347,B,Greece,20,47,524.529994726181
2395,A,Greece,30,27,215.72999835014343
2593,A,Germany,41,1,99.98999786376953
2836,B,Greece,27,10,71.8999981880188
3231,B,Germany,45,62,909.379989862442
696,B,Bulgaria,39,3,6.96999979019165
991,B,Bulgaria,20,6,72.94000124931335
1046,A,Bulgaria,33,6,31.939999103546143
1003,A,Bulgaria,19,1,9.989999771118164
1572,A,Italy,38,21,253.78999996185303
1964,B,Norway,40,55,586.4500041007996
2584,B,Germany,49,13,217.87000346183777
2369,B,Bulgaria,35,3,20.96999955177307
1502,A,Bulgaria,26,12,281.87999963760376
2892,A,Germany,39,20,328.80000400543213
3120,B,Germany,52,18,346.81999826431274
3444,A,Greece,32,10,247.900000333786
615,A,Norway,29,4,11.959999561309814
2728,B,Germany,45,72,1103.2800025939941
2928,A,Norway,30,35,617.6499977111816
3027,A,Greece,33,48,572.5200047492981
125,A,Bulgaria,31,2,99.9800033569336
1568,B,Italy,34,65,867.3499956130981
1631,B,Greece,28,9,191.90999841690063
2233,A,Norway,26,9,82.90999865531921
2343,B,Greece,30,22,391.77999472618103
2802,A,Germany,42,25,362.74999809265137
3644,B,Norway,31,21,216.79000067710876
839,B,Greece,33,3,40.96999955177307
1469,B,Greece,18,30,586.6999959945679
1721,B,Greece,21,31,405.69000244140625
1796,A,Italy,26,2,10.979999780654907
3285,A,Germany,53,4,31.959999561309814
1413,B,Bulgaria,29,2,24.979999542236328
2340,A,Bulgaria,24,18,335.8200011253357
2353,B,Greece,41,8,85.91999840736389
2785,A,Bulgaria,23,7,129.93000030517578
3428,B,Germany,50,38,468.6199984550476
3478,A,Bulgaria,24,6,82.94000124931335
117,B,Bulgaria,28,2,1.9800000190734863
860,A,Greece,26,12,103.88000011444092
918,A,Greece,38,23,362.7700004577637
2226,A,Germany,46,3,15.969999551773071
1564,A,Bulgaria,22,32,373.6800036430359
1877,A,Italy,34,7,166.9300045967102
1902,A,Italy,30,3,100.97000336647034
2227,A,Greece,34,12,343.8799982070923
2747,B,Bulgaria,27,7,34.929999589920044
2958,A,Greece,32,1,0.9900000095367432
3659,A,Italy,31,29,527.7099952697754
969,B,Greece,38,2,10.979999780654907
1402,B,Greece,22,2,1.9800000190734863
1897,B,Italy,29,58,719.4199984073639
2032,A,Bulgaria,35,3,89.97000122070312
3165,B,Greece,37,16,155.83999967575073
1066,A,Bulgaria,41,1,0.9900000095367432
1811,B,Germany,38,62,927.3799939155579
2137,A,Norway,27,25,231.74999904632568
2150,A,Greece,28,11,316.89000177383423
819,A,Germany,49,3,59.96999931335449
3047,B,Italy,28,1,0.9900000095367432
3218,B,Bulgaria,33,6,13.9399995803833
748,A,Bulgaria,39,3,25.96999955177307
1822,B,Germany,52,9,173.9099988937378
1841,A,Germany,51,53,817.4699985980988
2870,B,Greece,30,39,329.60999846458435
1251,A,Italy,27,29,386.7099950313568
1293,B,Bulgaria,35,1,4.989999771118164
1444,A,Greece,30,21,271.7900025844574
1625,B,Bulgaria,39,4,26.959999561309814
1662,B,Greece,28,4,35.959999322891235
1802,A,Italy,35,1,9.989999771118164
2067,A,Greece,22,30,456.7000024318695
3126,A,Italy,27,15,214.84999585151672
587,A,Bulgaria,39,1,4.989999771118164
1858,A,Bulgaria,27,13,105.87000036239624
2168,B,Germany,39,8,28.91999912261963
1074,B,Bulgaria,20,3,2.9700000286102295
3247,A,Greece,33,5,106.95000314712524
3433,B,Italy,30,68,986.3199973106384
201,B,Italy,23,7,78.9300012588501
1909,A,Germany,47,1,0.9900000095367432
2083,A,Italy,29,11,162.8900020122528
2631,B,Germany,50,66,917.3399937152863
3423,B,Greece,21,24,289.75999689102173
1243,B,Greece,29,1,19.989999771118164
1759,B,Italy,26,70,698.3000004291534
2037,A,Germany,39,44,664.5599999427795
3021,A,Italy,23,55,955.4500045776367
3317,A,Greece,32,5,121.95000314712524
979,A,Bulgaria,29,8,96.9200005531311
1598,A,Greece,40,2,20.979999780654907
1792,A,Greece,29,41,631.5900068283081
2293,B,Italy,32,40,584.5999963283539
2796,B,Greece,35,7,82.93000102043152
2194,A,Bulgaria,31,8,62.91999888420105
2576,A,Bulgaria,19,11,63.88999843597412
3564,A,Germany,51,6,214.94000625610352
1582,A,Bulgaria,32,12,96.88000082969666
1602,B,Greece,38,40,392.599999666214
1791,A,Greece,18,2,29.979999542236328
1968,A,Greece,34,31,328.6900019645691
1203,B,Italy,26,6,18.9399995803833
2074,A,Germany,41,37,880.6299929618835
2648,A,Bulgaria,25,2,24.979999542236328
3102,A,Greece,29,28,239.71999979019165
3109,B,Greece,22,32,385.67999720573425
579,A,Germany,42,5,80.95000100135803
1783,B,Greece,32,19,327.810001373291
2705,A,Greece,36,5,26.94999933242798
3291,A,Norway,33,10,56.8999981880188
2704,A,Bulgaria,34,6,47.93999934196472
2814,A,Bulgaria,29,17,257.83000564575195
3314,A,Bulgaria,38,15,232.85000038146973
3417,A,Greece,31,2,20.979999780654907
3620,A,Greece,23,10,177.89999651908875
641,A,Norway,33,5,34.94999885559082
1396,A,Bulgaria,19,4,11.959999561309814
1619,A,Greece,24,28,624.7199985980988
1741,A,Germany,46,51,1025.4899985790253
2746,A,Greece,27,12,129.8800003528595
1489,B,Bulgaria,34,11,70.88999891281128
1845,A,Norway,33,103,1600.9700055122375
2019,A,Greece,36,25,287.75000190734863
2417,A,Bulgaria,27,5,8.949999809265137
11,A,Bulgaria,32,7,82.93000102043152
1057,A,Bulgaria,37,27,243.72999787330627
1838,B,Norway,38,36,632.6399948596954
1978,B,Greece,35,4,26.959999561309814
3145,B,Greece,33,40,240.599999666214
375,B,Greece,25,9,192.9099986553192
949,A,Greece,19,60,705.3999996185303
1242,A,Italy,30,58,624.4199998378754
1441,A,Greece,27,56,715.4400017261505
2119,B,Greece,26,1,0.9900000095367432
2661,A,Bulgaria,31,5,13.949999809265137
2804,A,Norway,26,35,725.6499965190887
2862,B,Greece,31,2,54.98000144958496
300,A,Bulgaria,23,12,199.87999844551086
765,A,Bulgaria,34,14,338.85999584198
1868,A,Greece,33,31,637.6900005340576
2635,A,Bulgaria,32,8,202.91999888420105
2931,B,Germany,47,2,50.98000168800354
3380,A,Germany,38,1,9.989999771118164
474,A,Italy,26,9,136.91000032424927
708,A,Bulgaria,27,2,10.979999780654907
1094,A,Greece,33,3,15.969999551773071
1903,A,Italy,29,38,397.6200032234192
383,B,Greece,36,4,26.959999561309814
1235,B,Greece,23,17,138.83000016212463
1422,A,Germany,47,29,439.7099983692169
1916,B,Bulgaria,38,6,31.939999103546143
2745,B,Italy,24,2,1.9800000190734863
3167,A,Bulgaria,23,13,184.8699963092804
1049,B,Bulgaria,26,1,9.989999771118164
1689,B,Germany,55,42,649.5799946784973
1917,A,Bulgaria,35,1,0.9900000095367432
2100,A,Greece,28,3,100.97000336647034
2216,B,Norway,38,12,75.87999868392944
2467,B,Norway,32,12,293.87999629974365
316,A,Bulgaria,38,1,9.989999771118164
395,A,Bulgaria,28,1,9.989999771118164
2161,B,Norway,39,19,215.81000089645386
2855,A,Bulgaria,23,14,226.86000609397888
1386,A,Bulgaria,34,18,328.82000374794006
1547,B,Germany,42,2,10.979999780654907
3457,A,Norway,32,41,563.5899996757507
849,A,Italy,37,26,359.74000096321106
2196,A,Norway,22,11,197.89000391960144
2536,A,Bulgaria,21,1,9.989999771118164
3370,A,Greece,23,43,978.5700075626373
2960,A,Greece,18,24,356.7600038051605
3038,A,Greece,25,4,49.959999084472656
1737,A,Bulgaria,33,2,20.979999780654907
2990,B,Greece,31,3,15.969999551773071
3003,B,Italy,21,11,104.89000058174133
1561,A,Greece,39,12,160.8800024986267
1691,A,Norway,37,17,263.830002784729
2068,A,Bulgaria,28,16,150.83999967575073
3404,A,Norway,22,12,210.8800013065338
1141,B,Germany,37,1,49.9900016784668
1177,A,Bulgaria,26,5,36.94999933242798
1686,A,Germany,45,80,1347.2000012397766
1011,A,Bulgaria,33,3,60.970001459121704
2795,A,Germany,46,26,596.7400014400482
2800,A,Greece,33,17,276.8300054073334
377,B,Greece,27,4,22.959999799728394
1010,A,Germany,45,17,428.83000469207764
1836,A,Norway,33,24,247.76000022888184
3092,B,Germany,52,7,19.929999589920044
1668,B,Greece,28,55,505.44999170303345
1778,A,Bulgaria,33,11,140.88999700546265
3113,B,Greece,33,3,6.96999979019165
403,B,Greece,26,4,56.96000146865845
1707,A,Germany,53,9,279.9099998474121
1927,B,Germany,37,5,17.949999570846558
1985,A,Italy,29,24,371.7599980831146
1999,A,Greece,30,3,44.96999931335449
2909,A,Bulgaria,21,4,3.9600000381469727
3414,B,Norway,32,57,551.4299914836884
3603,A,Greece,35,7,56.92999887466431
1175,A,Bulgaria,20,6,65.93999886512756
1821,A,Greece,36,28,422.7200050354004
2490,A,Bulgaria,29,8,114.91999745368958
2876,A,Germany,43,2,50.98000168800354
207,A,Bulgaria,30,1,4.989999771118164
2551,A,Norway,36,1,99.98999786376953
1173,A,Bulgaria,38,11,72.89000129699707
1448,B,Greece,32,18,156.81999945640564
2052,A,Norway,29,26,405.74000310897827
2358,A,Bulgaria,33,9,136.91000032424927
3009,B,Greece,35,8,118.9200029373169
3215,B,Germany,43,10,146.90000200271606
3409,B,Germany,54,63,851.369996547699
523,B,Greece,31,1,9.989999771118164
1989,A,Germany,47,7,160.930002450943
2974,B,Italy,28,18,203.82000184059143
3192,A,Greece,30,25,446.75000166893005
911,A,Greece,32,5,61.95000123977661
1844,B,Bulgaria,21,13,71.86999869346619
1853,A,Norway,22,51,636.4899942874908
2232,B,Norway,39,25,232.74999809265137
2644,A,Greece,31,29,551.710000038147
3078,B,Greece,36,21,196.78999614715576
3293,B,Norway,32,7,56.92999887466431
609,A,Greece,23,9,151.9100022315979
1433,A,Greece,36,14,232.8600013256073
1670,B,Greece,25,4,40.959999322891235
1898,A,Greece,31,9,98.91000080108643
1918,A,Bulgaria,30,4,7.9599997997283936
2496,A,Bulgaria,41,1,19.989999771118164
3086,B,Germany,53,13,140.87000036239624
859,A,Greece,26,8,96.91999864578247
3249,B,Italy,26,38,481.6200029850006
910,A,Greece,27,6,62.940001249313354
2252,B,Germany,46,4,74.96000099182129
3229,A,Germany,37,27,343.729998588562
3475,A,Greece,24,26,331.7400014400482
218,A,Italy,30,5,121.94999742507935
1895,A,Greece,19,3,30.96999955177307
1992,B,Bulgaria,30,8,52.91999888420105
2781,A,Norway,32,7,33.929999351501465
463,A,Italy,29,2,5.979999780654907
890,B,Bulgaria,26,6,69.93999862670898
956,A,Bulgaria,25,3,19.969999313354492
1239,A,Italy,32,1,0.9900000095367432
2014,B,Greece,40,32,358.67999601364136
2723,A,Bulgaria,24,9,44.90999913215637
2742,B,Greece,27,14,248.8600034713745
3292,B,Greece,27,16,309.8400013446808
717,A,Bulgaria,28,10,26.899999380111694
1363,A,Germany,43,4,39.959999084472656
1775,B,Greece,21,2,59.98000144958496
2071,A,Norway,32,16,184.83999943733215
3105,A,Greece,25,30,374.69999742507935
3467,B,Germany,46,122,1375.7799928188324
3588,A,Greece,25,6,76.94000101089478
1289,A,Italy,27,18,330.8200011253357
1526,A,Germany,52,8,110.92000031471252
1594,B,Norway,33,23,326.7699956893921
2714,B,Greece,28,53,682.4699971675873
2792,A,Greece,35,24,166.759996175766
3018,A,Italy,19,5,17.949999570846558
3412,A,Greece,29,4,35.959999322891235
1016,A,Bulgaria,23,7,109.93000030517578
2147,A,Norway,23,9,112.91000056266785
3064,A,Greece,34,10,122.90000033378601
3071,A,Greece,31,3,6.96999979019165
3138,A,Norway,34,16,263.83999729156494
1487,A,Germany,45,5,55.9499990940094
1779,B,Bulgaria,31,1,19.989999771118164
2280,B,Greece,29,28,688.7200014591217
3502,B,Italy,39,23,302.76999855041504
3553,A,Bulgaria,31,2,50.98000168800354
67,B,Bulgaria,35,5,13.949999809265137
687,B,Bulgaria,40,5,46.94999933242798
1297,A,Bulgaria,23,15,132.85000038146973
1658,B,Greece,38,3,15.969999551773071
2012,B,Greece,22,9,127.91000056266785
2349,A,Bulgaria,32,3,20.96999955177307
2419,A,Bulgaria,26,4,12.959999799728394
2484,A,Bulgaria,35,4,24.959999084472656
2608,A,Greece,26,9,101.90999841690063
3511,B,Greece,28,17,240.83000135421753
5,A,Norway,19,1,9.989999771118164
1589,A,Bulgaria,31,4,25.959999322891235
1893,A,Greece,23,34,394.6599977016449
1997,A,Bulgaria,27,3,10.969999551773071
2830,A,Germany,48,13,276.8700032234192
1376,A,Bulgaria,23,1,0.9900000095367432
1458,A,Germany,39,5,130.94999718666077
1728,B,Germany,43,11,135.89000272750854
2315,A,Bulgaria,30,1,0.9900000095367432
2877,B,Germany,49,16,300.83999967575073
224,A,Italy,27,4,7.9599997997283936
697,A,Bulgaria,34,1,9.989999771118164
891,B,Bulgaria,29,3,21.96999979019165
1180,B,Bulgaria,33,3,19.969999313354492
1708,A,Germany,41,60,845.3999996185303
2098,B,Greece,27,6,155.93999695777893
3195,A,Greece,20,6,200.93999886512756
1312,A,Germany,52,2,19.979999542236328
2609,A,Germany,40,46,678.5400049686432
3240,B,Bulgaria,27,6,140.94000267982483
1447,B,Greece,34,9,79.910001039505
2120,A,Norway,23,20,205.7999987602234
2530,B,Bulgaria,25,1,0.9900000095367432
115,A,Bulgaria,26,4,80.96000123023987
319,B,Bulgaria,27,4,26.959999561309814
416,A,Greece,36,2,19.979999542236328
838,A,Greece,38,17,146.82999968528748
848,B,Greece,31,7,68.9300012588501
958,A,Greece,32,14,258.8599977493286
1214,B,Germany,46,18,298.81999683380127
1387,A,Bulgaria,36,3,30.96999955177307
1475,A,Greece,30,6,33.9399995803833
1544,A,Greece,40,59,685.4099991321564
1545,A,Bulgaria,37,15,153.8499994277954
1645,A,Greece,37,2,1.9800000190734863
1860,B,Greece,29,37,608.630006313324
2258,A,Norway,30,18,407.8200023174286
2574,A,Norway,27,39,438.61000204086304
2813,B,Bulgaria,31,1,0.9900000095367432
2866,A,Italy,34,10,59.899998903274536
1476,A,Greece,32,3,25.96999955177307
1672,B,Greece,29,2,29.979999542236328
1687,B,Germany,43,8,166.92000246047974
1688,A,Germany,52,1,9.989999771118164
1851,A,Bulgaria,34,12,195.87999868392944
2111,B,Norway,36,19,224.8100025653839
2462,A,Bulgaria,35,3,39.96999931335449
2618,B,Greece,29,11,59.8899986743927
2300,A,Bulgaria,36,1,0.9900000095367432
1333,A,Bulgaria,38,27,345.72999835014343
1366,A,Greece,31,18,263.81999683380127
1524,B,Germany,47,1,0.9900000095367432
1535,A,Germany,40,59,884.4099996089935
1608,A,Greece,26,12,96.87999773025513
679,B,Bulgaria,26,2,1.9800000190734863
845,B,Greece,25,9,108.91000080108643
1067,A,Bulgaria,25,6,81.94000101089478
1238,B,Bulgaria,26,10,81.90000128746033
1494,A,Bulgaria,29,9,210.90999817848206
2040,A,Bulgaria,31,2,5.979999780654907
84,B,Bulgaria,21,2,10.979999780654907
681,A,Bulgaria,30,26,698.7399942874908
1045,B,Bulgaria,24,8,160.92000222206116
1411,A,Bulgaria,34,9,144.90999722480774
2335,A,Bulgaria,33,6,75.93999886512756
2888,A,Greece,36,5,209.95000648498535
3328,A,Italy,30,38,437.619998216629
1196,A,Bulgaria,35,7,320.92999291419983
1453,A,Germany,53,34,535.6600031852722
1752,A,Greece,31,35,476.64999294281006
2468,B,Germany,41,15,353.84999561309814
2502,A,Bulgaria,39,1,49.9900016784668
2763,B,Norway,35,8,152.92000269889832
2945,A,Italy,28,8,237.91999506950378
3121,B,Germany,42,97,1380.0299928188324
3557,A,Bulgaria,34,2,109.9799976348877
767,B,Bulgaria,30,1,0.9900000095367432
876,B,Greece,28,6,170.93999886512756
1398,A,Bulgaria,31,14,270.8600001335144
1948,B,Germany,43,1,0.9900000095367432
2556,A,Norway,29,22,516.7800004482269
2628,B,Germany,38,19,142.80999946594238
2210,B,Greece,27,27,555.7299907207489
2716,A,Italy,22,1,4.989999771118164
2770,A,Germany,47,11,133.89000034332275
1665,B,Greece,20,3,51.97000169754028
3286,B,Greece,39,55,1187.4500088691711
3631,A,Italy,33,26,477.73999786376953
606,A,Greece,25,2,1.9800000190734863
962,A,Greece,28,3,25.96999955177307
1805,B,Greece,38,11,76.88999915122986
1871,B,Germany,54,3,6.96999979019165
1994,A,Bulgaria,30,6,121.94000291824341
2771,B,Germany,57,34,338.65999937057495
3045,A,Italy,33,1,0.9900000095367432
3131,A,Bulgaria,28,6,75.93999886512756
946,B,Norway,28,2,5.979999780654907
1414,B,Bulgaria,32,4,140.9599974155426
2095,B,Greece,29,1,0.9900000095367432
2308,A,Germany,58,10,249.89999771118164
1953,B,Greece,27,11,154.89000248908997
2611,B,Italy,29,26,239.7399983406067
2821,A,Greece,33,22,483.779990196228
1951,A,Greece,35,12,59.879998445510864
296,B,Bulgaria,23,1,0.9900000095367432
1382,B,Bulgaria,26,5,44.94999885559082
1801,A,Bulgaria,35,21,354.789998292923
2447,A,Bulgaria,20,1,19.989999771118164
781,A,Bulgaria,28,3,51.97000169754028
1943,B,Italy,27,61,823.3900012969971
1979,A,Germany,35,1,49.9900016784668
2336,A,Bulgaria,19,1,4.989999771118164
2364,A,Italy,20,17,114.82999730110168
2594,B,Germany,56,3,15.969999551773071
514,A,Bulgaria,25,15,151.85000014305115
1646,A,Greece,26,4,115.9599974155426
2219,A,Greece,33,7,68.9300012588501
716,A,Bulgaria,28,7,47.929999113082886
940,A,Greece,34,9,142.91000247001648
1070,B,Greece,22,1,19.989999771118164
2724,B,Bulgaria,23,5,50.9499990940094
3158,B,Greece,27,13,217.87000155448914
3300,A,Germany,47,33,321.66999912261963
3415,B,Bulgaria,26,3,11.96999979019165
2449,B,Bulgaria,23,4,7.9599997997283936
2103,B,Norway,24,15,160.84999990463257
3362,A,Italy,31,5,90.95000100135803
774,B,Greece,33,5,45.9499990940094
1612,A,Greece,35,2,9.979999542236328
2481,A,Bulgaria,30,2,10.979999780654907
2885,A,Bulgaria,41,10,184.89999890327454
2916,B,Germany,41,4,45.959999322891235
1,A,Norway,31,4,71.96000146865845
543,A,Bulgaria,25,8,42.91999888420105
2621,A,Bulgaria,29,2,10.979999780654907
2859,A,Bulgaria,36,1,9.989999771118164
2997,A,Greece,33,27,376.7299973964691
3625,B,Greece,25,28,259.719997882843
1352,B,Bulgaria,22,5,17.949999570846558
1725,B,Germany,37,11,101.88999795913696
2187,A,Bulgaria,27,14,120.8600001335144
2510,A,Bulgaria,32,1,4.989999771118164
2614,A,Italy,30,41,614.590006351471
2842,A,Bulgaria,24,2,14.979999542236328
3271,A,Greece,30,21,317.7899990081787
3343,A,Greece,23,8,178.91999912261963
415,B,Greece,20,1,19.989999771118164
1461,A,Germany,54,130,1711.700005531311
1782,A,Italy,27,1,19.989999771118164
2427,A,Bulgaria,28,10,114.90000081062317
3378,A,Bulgaria,29,18,64.81999826431274
614,B,Norway,27,2,14.979999542236328
1399,B,Italy,33,13,75.86999845504761
2539,B,Germany,48,41,420.58999824523926
2819,A,Italy,33,16,100.8399977684021
3311,A,Italy,32,38,382.62000012397766
3482,A,Germany,52,4,31.959999561309814
3529,A,Germany,41,30,529.6999943256378
3591,A,Germany,39,12,156.87999963760376
262,A,Bulgaria,30,1,0.9900000095367432
2817,A,Germany,51,4,30.959999322891235
1302,B,Bulgaria,28,3,21.96999979019165
